薬品名,薬価,原価,在庫量,単位,在庫原価額,在庫薬価額,回転数,処方量,処方原価額,処方薬価額,差益額,差益率,他出庫量,他出庫額,入庫量,入庫金額,棚１,棚２,棚３,レセコン医薬品No,レセプト電算コード,経過措置期限,剤型,発注先,毒薬フラグ,劇薬フラグ,麻薬フラグ,向精神薬フラグ,覚醒剤フラグ,覚醒剤原料フラグ,後発品フラグ,ＹＪコード,一般名称
ヌーカラ皮下注１００ｍｇペン　１ｍＬ B,159891.00,140384.00,3.000,キット,421152,479673,3.00,9.000,1263456,1439019,175563,12.20,0.000,0,12.000,1684608,REI-3-,薬庫,,ﾇｶﾗ03,629906501,,注射,ケーエスケー,0,1,0,0,0,0,0,2290401G2022,メポリズマブ（遺伝子組換え）キット
オレンシア皮下注１２５ｍｇオートインジェクター１ｍＬ B,28547.00,23768.00,13.000,キット,308984,371111,15.16,144.000,3422592,4110768,688176,16.74,3.000,76083,155.000,3684040,REI-3-,薬庫,,ｵﾚﾝ03,622491601,,注射,ケーエスケー,0,1,0,0,0,0,0,3999429G2024,アバタセプト（遺伝子組換え）キット
インチュニブ錠１ｍｇ H,398.80,354.36,551.000,錠,195252,219739,1.92,997.000,353297,397604,44307,11.14,200.000,70873,1260.000,446490,I-8-3,薬庫,,ｲﾝﾁ03,622546701,,内服,スズケン,0,1,0,0,0,0,0,1179057G1021,グアンファシン塩酸塩徐放錠
トラクリア錠６２．５ｍｇ H,3327.00,2980.83,65.000,錠,193754,216255,9.14,448.000,1335412,1490496,155084,10.40,0.000,0,480.000,1430800,c-1-,薬庫,,ﾄﾗｸ01,620002492,,内服,アルフレッサ,0,1,0,0,0,0,0,2190026F1022,ボセンタン水和物錠
モイゼルト軟膏０．３％ H28.000,140.40,124.80,1446.000,Ｇ,180461,203018,-2.74,1784.000,222643,250473,27830,11.11,280.000,34944,6260.000,781239,k-9-,薬庫,,ﾓｲｾ011,622849901,,外用,ケーエスケー,0,0,0,0,0,0,0,2699715M1023,ジファミラスト軟膏
パキロビッドパック６００ H,19805.50,17644.00,10.000,シート,176440,198055,,,,,,,,,,,c-2-,薬庫,,ﾊｷﾛ02,622937801,,内服,ケーエスケー,0,1,0,0,0,0,0,6250120X2023,ニルマトレルビル・リトナビルシート
イグザレルトＯＤ錠１５ｍｇ H,481.90,417.64,387.000,錠,161627,186495,10.94,2554.000,1066653,1230774,164121,13.33,40.000,17212,2900.000,1245338,B-8-4,薬庫,バラ,ｲｸｻ06,622829101,,内服,メディセオ,0,0,0,0,0,0,0,3339003F4023,リバーロキサバン口腔内崩壊錠
トラディアンス配合錠ＡＰ H,241.50,208.29,629.000,錠,131014,151904,7.65,3039.000,632993,733926,100933,13.75,100.000,21433,3600.000,770380,A-6-4,薬庫,バラ,ﾄﾗﾃ01,622655001,,内服,メディセオ,0,0,0,0,0,0,0,3969108F1027,エンパグリフロジン・リナグリプチン配合剤錠
ジャディアンス錠１０ｍｇ H,188.90,162.93,742.000,錠,120894,140164,26.70,16660.000,2714414,3147081,432667,13.75,306.000,49858,17750.000,2892008,A-5-3,薬庫,,ｼﾔﾃ01,622401201,,内服,ケーエスケー,0,0,0,0,0,0,0,3969023F1023,エンパグリフロジン錠
ベムリディ錠２５ｍｇ B,923.90,823.33,133.000,錠,109503,122879,0.00,0.000,0,0,0,0.00,0.000,0,,,zaiko-nasi,薬庫,,,622532701,,内服,ケーエスケー,,,,,,,,,
リベルサス錠１４ｍｇ H,488.50,432.53,246.000,錠,106402,120171,12.25,2242.000,969732,1095217,125485,11.46,190.000,82187,2468.000,1067543,A-1-5,薬庫,,ﾘﾍﾙ03,629911801,,内服,アルフレッサ,0,1,0,0,0,0,0,2499014F3024,セマグルチド（遺伝子組換え）錠
